FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Documents/GitHub/2CM4_Projects/assignment_1_rocket.pde  20:13:43 1/24/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 22 Time= 4.842e-5 Dt= 9.654e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.18e-10 MAX ERR= 2.38e-10 TIME ERR= 2.68e-11 Lanczos/BInv=(13) MEM(KiB)=6143 
 +00:00:00| Step 23 Time= 6.048e-5 Dt= 1.207e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.98e-10 MAX ERR= 2.16e-10 TIME ERR= 5.24e-11 Lanczos/BInv=(13) MEM(KiB)=6143 
 +00:00:00| Step 24 Time= 7.557e-5 Dt= 1.508e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.58e-10 MAX ERR= 1.73e-10 TIME ERR= 1.02e-10 Lanczos/BInv=(13) MEM(KiB)=6143 
 +00:00:00| Step 25 Time= 9.442e-5 Dt= 1.886e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.26e-10 MAX ERR= 1.38e-10 TIME ERR= 2.00e-10 Lanczos/BInv=(13) MEM(KiB)=6144 
 +00:00:00| Step 26 Time= 1.180e-4 Dt= 2.357e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.01e-10 MAX ERR= 1.10e-10 TIME ERR= 3.90e-10 Lanczos/BInv=(13) MEM(KiB)=6144 
 +00:00:00| Step 27 Time= 1.475e-4 Dt= 2.946e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 8.05e-11 MAX ERR= 8.78e-11 TIME ERR= 7.63e-10 Lanczos/BInv=(13) MEM(KiB)=6144 
 +00:00:00| Step 28 Time= 1.843e-4 Dt= 3.683e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 6.42e-11 MAX ERR= 7.00e-11 TIME ERR= 1.490e-9 Lanczos/BInv=(13) MEM(KiB)=6144 
 +00:00:00| Step 29 Time= 2.303e-4 Dt= 4.603e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 5.12e-11 MAX ERR= 5.59e-11 TIME ERR= 2.909e-9 Lanczos/BInv=(13) MEM(KiB)=6144 
 +00:00:00| STEP FAILED at Dt= 5.754e-5. RETRY at Dt= 1.188e-5
 +00:00:00| Step 30 Time= 2.422e-4 Dt= 1.188e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.87e-11 MAX ERR= 5.31e-11 TIME ERR= 7.61e-11 Lanczos/BInv=(13) MEM(KiB)=6144 
 +00:00:00| STEP FAILED at Dt= 1.188e-5. RETRY at Dt= 3.696e-6
 +00:00:00| Step 31 Time= 2.459e-4 Dt= 3.696e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.79e-11 MAX ERR= 5.23e-11 TIME ERR= 6.94e-12 Lanczos/BInv=(13) MEM(KiB)=6145 
 +00:00:00| Step 32 Time= 2.496e-4 Dt= 3.696e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.72e-11 MAX ERR= 5.15e-11 TIME ERR= 8.64e-12 Lanczos/BInv=(13) MEM(KiB)=6146 
 +00:00:00| STEP FAILED at Dt= 4.620e-6. RETRY at Dt= 1.789e-6
 +00:00:00| Step 33 Time= 2.514e-4 Dt= 1.789e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.69e-11 MAX ERR= 5.11e-11 TIME ERR= 6.53e-13 Lanczos/BInv=(13) MEM(KiB)=6146 
 +00:00:00| STEP FAILED at Dt= 1.789e-6. RETRY at Dt= 8.939e-7
 +00:00:00| Step 34 Time= 2.523e-4 Dt= 8.939e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.67e-11 MAX ERR= 5.09e-11 TIME ERR= 1.03e-13 Orthomin/ILU=(16) MEM(KiB)=6146 
 +00:00:00| STEP FAILED at Dt= 8.939e-7. RETRY at Dt= 5.311e-7
 +00:00:00| Step 35 Time= 2.528e-4 Dt= 5.311e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.66e-11 MAX ERR= 5.08e-11 TIME ERR= 5.59e-14 Orthomin/ILU=(15) MEM(KiB)=6146 
 +00:00:00| STEP FAILED at Dt= 5.311e-7. RETRY at Dt= 3.594e-7
 +00:00:00| Step 36 Time= 2.532e-4 Dt= 3.594e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.65e-11 MAX ERR= 5.07e-11 TIME ERR= 0.005567 Orthomin/ILU=(19) MEM(KiB)=6146 
 +00:00:00| Step 37 Time= 2.535e-4 Dt= 3.594e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.65e-11 MAX ERR= 5.07e-11 TIME ERR= 0.003711 Orthomin/ILU=(19) MEM(KiB)=6146 
 +00:00:00| Step 38 Time= 2.538e-4 Dt= 3.080e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.64e-11 MAX ERR= 5.06e-11 TIME ERR= 8.602e-4 Orthomin/ILU=(19) MEM(KiB)=6146 
 +00:00:00| Step 39 Time= 2.541e-4 Dt= 3.080e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.63e-11 MAX ERR= 5.05e-11 TIME ERR= 3.347e-4 Orthomin/ILU=(19) MEM(KiB)=6146 
 +00:00:00| Step 40 Time= 2.545e-4 Dt= 3.849e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.63e-11 MAX ERR= 5.05e-11 TIME ERR= 1.867e-4 Orthomin/ILU=(19) MEM(KiB)=6147 
 +00:00:00| Step 41 Time= 2.550e-4 Dt= 4.812e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.62e-11 MAX ERR= 5.04e-11 TIME ERR= 8.337e-5 Orthomin/ILU=(19) MEM(KiB)=6147 
 +00:00:00| Step 42 Time= 2.556e-4 Dt= 6.015e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.61e-11 MAX ERR= 5.02e-11 TIME ERR= 3.722e-5 Orthomin/ILU=(19) MEM(KiB)=6147 
 +00:00:00| Step 43 Time= 2.563e-4 Dt= 7.518e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.59e-11 MAX ERR= 5.01e-11 TIME ERR= 1.662e-5 Orthomin/ILU=(18) MEM(KiB)=6147 
 +00:00:00| Step 44 Time= 2.573e-4 Dt= 9.398e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.58e-11 MAX ERR= 4.99e-11 TIME ERR= 7.417e-6 Orthomin/ILU=(18) MEM(KiB)=6147 
 +00:00:00| Step 45 Time= 2.585e-4 Dt= 1.175e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.56e-11 MAX ERR= 4.97e-11 TIME ERR= 3.311e-6 Orthomin/ILU=(18) MEM(KiB)=6147 
 +00:00:00| Step 46 Time= 2.599e-4 Dt= 1.468e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.53e-11 MAX ERR= 4.94e-11 TIME ERR= 1.478e-6 Orthomin/ILU=(17) MEM(KiB)=6148 
 +00:00:00| Step 47 Time= 2.618e-4 Dt= 1.836e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.50e-11 MAX ERR= 4.90e-11 TIME ERR= 6.599e-7 Orthomin/ILU=(16) MEM(KiB)=6149 
