{
FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
File: assignment_1_rocket.pde  20:13:43 1/24/24
Title: Rocket DA1
Output: h, v, p
 Time 120.391
<Time> 	<h(0,0)> 	<v(0,0)> 	<p(0,0)> 
   0.0969171444	  0.1602250297	  2.2787426903	  101323.07524
   0.1141786719	  0.2014839015	  2.5016799138	  101322.57961
   0.1314401994	  0.2465915254	  2.7246719541	  101322.03775
   0.1487017269	  0.2955488197	  2.9477188206	  101321.44965
   0.1702786363	  0.3621605675	  3.2266045192	  101320.64947
   0.1918555457	  0.4347908128	  3.5055759191	  101319.777
   0.2134324551	  0.5134413506	  3.784633039	  101318.83222
   0.2350093645	  0.5981140128	  4.063775898	  101317.81511
   0.2619805012	  0.7124264639	  4.4128250737	  101316.44197
   0.2889516380	  0.836155132	  4.7620082859	  101314.95574
   0.3159227747	  0.9693035286	  5.111325571	  101313.35637
   0.3428939114	  1.1118752356	  5.4607769662	  101311.64384
   0.3766078324	  1.3033472874	  5.897779864	  101309.34397
   0.4103217533	  1.5095562608	  6.334992444	  101306.86713
   0.4440356742	  1.7305090228	  6.7724147775	  101304.21326
   0.4777495951	  1.9662125783	  7.2100469372	  101301.38227
   0.5114635161	  2.2166739801	  7.6478889965	  101298.3741
   0.5536059172	  2.5505154955	  8.1954868614	  101294.36461
   0.5957483184	  2.9074416115	  8.7434129584	  101290.07801
   0.6378907195	  3.2874657675	  9.2916674269	  101285.51416
   0.6800331207	  3.690601673	  9.8402504088	  101280.67295
   0.7221755218	  4.1168631313	  10.389162047	  101275.55422
   0.7643179230	  4.566263981	  10.938402486	  101270.15785
   0.8169959244	  5.1605774288	  11.625415643	  101263.02174
   0.8696739258	  5.7910960664	  12.312943066	  101255.45135
   0.9223519273	  6.4578462177	  13.000985029	  101247.44645
   0.9750299287	  7.1608547368	  13.689541807	  101239.00678
   1.0277079302	  7.9001486647	  14.378613682	  101230.13212
   1.0803859316	  8.6757551143	  15.068200933	  101220.82223
   1.1462334334	  9.6963719753	  15.930910202	  101208.57245
   1.2120809352	  10.773824916	  16.794425757	  101195.6418
   1.2779284370	  11.908165529	  17.65874813	  101182.02989
   1.3437759388	  13.099446454	  18.523877864	  101167.7363
   1.4096234406	  14.347720703	  19.389815506	  101152.76062
   1.4754709424	  15.653041437	  20.256561605	  101137.10247
   1.5413184442	  17.015461891	  21.124116709	  101120.76147
   1.6236278215	  18.798870919	  22.209699149	  101099.37433
   1.7059371987	  20.671690147	  23.296547638	  101076.91889
   1.7882465760	  22.634020852	  24.384663217	  101053.39453
   1.8705559532	  24.685966381	  25.474046952	  101028.80061
   1.9528653305	  26.827630828	  26.564699914	  101003.13652
   2.0000000000	  28.094492253	  27.189836899	  100987.95789
   2.0823093773	  30.377454631	  28.282487986	  100960.60974
   2.1646187545	  32.750411495	  29.376411135	  100932.18987
   2.2675054761	  35.843326599	  30.7456056	  100895.1571
   2.3703921976	  39.077225887	  32.116791447	  100856.44804
   2.4732789192	  42.452307844	  33.489970717	  100816.06188
   2.5761656408	  45.968775508	  34.865145498	  100773.99783
   2.6790523623	  49.626833576	  36.242317896	  100730.25515
   2.7819390839	  53.426687445	  37.621490023	  100684.83318
   2.8848258054	  57.368542888	  39.002663995	  100637.7313
   2.9877125270	  61.452605952	  40.385841934	  100588.94899
   3.0905992486	  65.679082918	  41.77102596	  100538.48576
   3.2192076505	  71.162785801	  43.505330525	  100473.04208
   3.3478160525	  76.869754284	  45.242777261	  100404.97054
   3.4764244544	  82.80038122	  46.983370215	  100334.27081
   3.6050328564	  88.955067666	  48.727113521	  100260.94268
   3.7336412583	  95.334217775	  50.474011347	  100184.98605
   3.8622496603	  101.93823709	  52.224067879	  100106.40098
   4.0000000000	  109.26157926	  54.102032946	  100019.31466
   4.1286084020	  116.33262097	  55.85864485	  99935.286807
   4.2572168039	  123.62977754	  57.618428339	  99848.631893
   4.3858252059	  131.15345998	  59.381387673	  99759.350662
   4.5465857083	  140.87728372	  61.589559807	  99644.056803
   4.7073462107	  150.95652873	  63.802709507	  99524.662676
   4.8681067132	  161.3919732	  66.020844869	  99401.171252
   5.0288672156	  172.18441173	  68.243974178	  99273.58576
   5.1896277181	  183.33464534	  70.472105801	  99141.909808
   5.3503882205	  194.84347802	  72.705248154	  99006.147423
   5.5111487230	  206.71171572	  74.943409692	  98866.303068
   5.6719092254	  218.94016589	  77.186598906	  98722.381644
   5.8326697278	  231.52963747	  79.434824325	  98574.388499
   6.0000000000	  245.01793818	  81.780286032	  98416.02873
   6.1607605024	  258.3467296	  84.038816373	  98259.744107
   6.3617111305	  275.51905449	  86.869100159	  98058.689045
   6.5626617585	  293.26098986	  89.707311597	  97851.314939
   6.7636123866	  311.57408657	  92.553467306	  97637.637484
   6.9645630147	  330.45992813	  95.407584328	  97417.673129
   7.1655136427	  349.92011125	  98.269679922	  97191.439316
   7.3664642708	  369.95623936	  101.1397715	  96958.954555
   7.5674148988	  390.56992049	  104.01787662	  96720.238451
   7.7683655269	  411.76276656	  106.90401296	  96475.311718
   8.0000000000	  436.91239443	  110.24083206	  96185.308146
   8.2009506281	  459.35754749	  113.14431841	  95927.086703
   8.4019012561	  482.3869348	  116.05589224	  95662.727632
   8.6028518842	  506.00220786	  118.97557209	  95392.255989
   8.8540401692	  536.34787604	  122.63660123	  95045.608862
   9.1052284543	  567.61488774	  126.31036296	  94689.504616
   9.3564167394	  599.80635606	  129.99689303	  94324.001122
   9.6076050244	  632.92546303	  133.69622829	  93949.15829
   9.8587933095	  666.97541997	  137.40840625	  93565.038526
   10.000000000	  686.5264488	  139.50087512	  93345.057488
   10.251188285	  722.03668218	  143.23318794	  92946.580461
   10.502376570	  758.48626891	  146.97844444	  92538.996166
   10.753564855	  795.87832363	  150.73668228	  92122.378152
   11.004753140	  834.21606498	  154.50794076	  91696.801597
   11.255941425	  873.502753	  158.29226008	  91262.34402
   11.507129710	  913.74166835	  162.08968112	  90819.085503
   11.758317995	  954.93610556	  165.90024537	  90367.108758
   12.000000000	  995.47653403	  169.57904315	  89924.087595
   12.251188285	  1038.5554433	  173.41551898	  89455.255165
   12.565173641	  1093.7623764	  178.2297845	  88857.327654
   12.879158998	  1150.4844806	  183.06487392	  88246.364637
   13.193144354	  1208.7281167	  187.92087247	  87622.557111
   13.507129710	  1268.4998004	  192.79786869	  86986.100966
   13.821115067	  1329.8061179	  197.69595345	  86337.197863
   14.000000000	  1365.4220307	  200.49596711	  85962.021279
   14.313985356	  1429.1500382	  205.42733404	  85294.00776
   14.627970713	  1494.4302082	  210.38003806	  84614.088624
   14.941956069	  1561.2689693	  215.35417306	  83922.490015
   15.255941425	  1629.6729713	  220.34983762	  83219.441963
   15.569926782	  1699.6489583	  225.3671333	  82505.17965
   15.883912138	  1771.2037284	  230.40616416	  81779.943773
   16.000000000	  1798.059864	  232.27473089	  81509.082269
   16.313985356	  1871.7872478	  237.34369062	  80769.226255
   16.627970713	  1947.1103294	  242.43465157	  80018.982575
   17.020452408	  2043.5187831	  248.82946473	  79066.964925
   17.412934103	  2142.4446039	  255.25904923	  78099.643546
   17.805415799	  2243.9010331	  261.72362804	  77117.5534
   18.000000000	  2295.1424502	  264.94165974	  76625.355297
   18.392481695	  2400.4080461	  271.45899477	  75622.20818
   18.784963391	  2508.2396434	  278.01194113	  74605.660777
   19.177445086	  2618.6505631	  284.60073976	  73576.291403
   19.569926782	  2731.6546933	  291.22564674	  72534.684643
   20.000000000	  2858.477196	  298.52686758	  71379.961022
   20.392481695	  2976.9625111	  305.22832809	  70314.641156
   20.784963391	  3098.0851068	  311.96674284	  69238.953514
   21.177445086	  3221.8596785	  318.74240518	  68153.518871
   21.569926782	  3348.3009488	  325.55561474	  67058.967258
   22.000000000	  3489.9327808	  333.06487613	  65849.863885
   22.392481695	  3622.0113707	  339.95778934	  64738.281774
   22.784963391	  3756.802681	  346.88922317	  63619.583891
