{
FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
File: assignment_1_rocket.pde  20:13:43 1/24/24
Title: Rocket DA1
Output: h, v, p
 Time 120.391
<Time> 	<h(0,0)> 	<v(0,0)> 	<p(0,0)> 
   120.00000000	  230376.05794	  8876.1541181	  0.
   120.08503863	  231133.88001	  8946.0495756	  0.
   120.17007726	  231897.72696	  9017.7767701	  0.
   120.25083057	  232628.80085	  9087.6715745	  0.
   120.33158388	  233365.59308	  9159.3942383	  0.
   120.34682485	  233505.29793	  9173.1390648	  0.
   120.36206581	  233645.21157	  9186.9522825	  0.
   120.38111702	  233820.40016	  9204.3169049	  0.
   120.38733990	  233877.69536	  9210.012652	  0.
   120.38965530	  233899.02264	  9212.1349144	  0.
   120.39033931	  233905.32406	  9212.762184	  0.
   120.39078138	  233909.39674	  9212.873575	  0.
