FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/V3 Rocket Optimization.pde  11:01:49 1/9/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 23 Time= 0.004962 Dt= 9.902e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.17e-16 MAX ERR= 1.28e-16 TIME ERR= 3.463e-7 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 24 Time= 0.006199 Dt= 0.001238 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.55e-16 MAX ERR= 1.69e-16 TIME ERR= 6.706e-7 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 25 Time= 0.007746 Dt= 0.001547 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.32e-16 MAX ERR= 1.44e-16 TIME ERR= 1.296e-6 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 26 Time= 0.009680 Dt= 0.001934 Nodes=4 Cells=2 DOF=16 RMS ERR= 8.78e-17 MAX ERR= 9.46e-17 TIME ERR= 2.497e-6 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 27 Time= 0.012098 Dt= 0.002417 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.45e-17 MAX ERR= 1.03e-16 TIME ERR= 4.797e-6 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 28 Time= 0.015119 Dt= 0.003022 Nodes=4 Cells=2 DOF=16 RMS ERR= 7.68e-17 MAX ERR= 8.31e-17 TIME ERR= 9.176e-6 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 29 Time= 0.018897 Dt= 0.003777 Nodes=4 Cells=2 DOF=16 RMS ERR= 6.66e-17 MAX ERR= 7.11e-17 TIME ERR= 1.747e-5 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 30 Time= 0.023618 Dt= 0.004721 Nodes=4 Cells=2 DOF=16 RMS ERR= 5.73e-17 MAX ERR= 5.91e-17 TIME ERR= 3.305e-5 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 31 Time= 0.029520 Dt= 0.005902 Nodes=4 Cells=2 DOF=16 RMS ERR= 7.00e-17 MAX ERR= 7.57e-17 TIME ERR= 6.208e-5 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 32 Time= 0.036897 Dt= 0.007377 Nodes=4 Cells=2 DOF=16 RMS ERR= 8.90e-17 MAX ERR= 9.69e-17 TIME ERR= 1.155e-4 Lanczos/BInv=(13) MEM(KiB)=8025 
