FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/tempflexfile.pde  10:04:12 1/11/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 23 Time= 0.004507 Dt= 8.985e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.42e-16 MAX ERR= 1.48e-16 TIME ERR= 3.864e-7 Lanczos/BInv=(13) MEM(KiB)=5502 
 +00:00:00| Step 24 Time= 0.005630 Dt= 0.001123 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.35e-16 MAX ERR= 1.39e-16 TIME ERR= 7.496e-7 Lanczos/BInv=(13) MEM(KiB)=5502 
 +00:00:00| Step 25 Time= 0.007034 Dt= 0.001404 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.33e-16 MAX ERR= 1.45e-16 TIME ERR= 1.451e-6 Lanczos/BInv=(13) MEM(KiB)=5502 
 +00:00:00| Step 26 Time= 0.008789 Dt= 0.001755 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.19e-16 MAX ERR= 1.27e-16 TIME ERR= 2.804e-6 Lanczos/BInv=(13) MEM(KiB)=5502 
 +00:00:00| Step 27 Time= 0.010982 Dt= 0.002194 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.33e-16 MAX ERR= 1.45e-16 TIME ERR= 5.405e-6 Lanczos/BInv=(13) MEM(KiB)=5503 
 +00:00:00| Step 28 Time= 0.013724 Dt= 0.002742 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.89e-16 MAX ERR= 2.06e-16 TIME ERR= 1.038e-5 Lanczos/BInv=(13) MEM(KiB)=5503 
 +00:00:00| Step 29 Time= 0.017152 Dt= 0.003427 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.94e-16 MAX ERR= 2.11e-16 TIME ERR= 1.987e-5 Lanczos/BInv=(13) MEM(KiB)=5503 
 +00:00:00| Step 30 Time= 0.021436 Dt= 0.004284 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.62e-16 MAX ERR= 1.74e-16 TIME ERR= 3.784e-5 Lanczos/BInv=(13) MEM(KiB)=5503 
 +00:00:00| Step 31 Time= 0.026792 Dt= 0.005355 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.50e-16 MAX ERR= 1.58e-16 TIME ERR= 7.164e-5 Lanczos/BInv=(13) MEM(KiB)=5503 
 +00:00:00| Step 32 Time= 0.033486 Dt= 0.006694 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.29e-16 MAX ERR= 1.37e-16 TIME ERR= 1.347e-4 Lanczos/BInv=(13) MEM(KiB)=5504 
 +00:00:00| Step 33 Time= 0.041854 Dt= 0.008368 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.03e-16 MAX ERR= 1.05e-16 TIME ERR= 2.511e-4 Lanczos/BInv=(13) MEM(KiB)=5504 
 +00:00:00| Step 34 Time= 0.052313 Dt= 0.010460 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.65e-17 MAX ERR= 9.72e-17 TIME ERR= 4.634e-4 Lanczos/BInv=(13) MEM(KiB)=5504 
 +00:00:00| Step 35 Time= 0.065388 Dt= 0.013075 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.07e-16 MAX ERR= 1.10e-16 TIME ERR= 8.452e-4 Lanczos/BInv=(13) MEM(KiB)=5504 
 +00:00:00| Step 36 Time= 0.078463 Dt= 0.013075 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.40e-17 MAX ERR= 9.69e-17 TIME ERR= 8.346e-4 Lanczos/BInv=(13) MEM(KiB)=5504 
 +00:00:00| Step 37 Time= 0.091538 Dt= 0.013075 Nodes=4 Cells=2 DOF=16 RMS ERR= 8.50e-17 MAX ERR= 8.94e-17 TIME ERR= 8.380e-4 Lanczos/BInv=(13) MEM(KiB)=5504 
 +00:00:00| Step 38 Time= 0.104613 Dt= 0.013075 Nodes=4 Cells=2 DOF=16 RMS ERR= 6.99e-17 MAX ERR= 7.58e-17 TIME ERR= 7.963e-4 Lanczos/BInv=(13) MEM(KiB)=5504 
 +00:00:00| Step 39 Time= 0.120956 Dt= 0.016343 Nodes=4 Cells=2 DOF=16 RMS ERR= 6.57e-17 MAX ERR= 7.05e-17 TIME ERR= 0.001344 Lanczos/BInv=(13) MEM(KiB)=5504 
 +00:00:00| Step 40 Time= 0.137299 Dt= 0.016343 Nodes=4 Cells=2 DOF=16 RMS ERR= 7.56e-17 MAX ERR= 8.17e-17 TIME ERR= 0.001215 Lanczos/BInv=(13) MEM(KiB)=5504 
 +00:00:00| Step 41 Time= 0.153643 Dt= 0.016343 Nodes=4 Cells=2 DOF=16 RMS ERR= 8.13e-17 MAX ERR= 8.17e-17 TIME ERR= 0.001190 Lanczos/BInv=(13) MEM(KiB)=5504 
