FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Documents/GitHub/2CM4_Projects/DA-1/assignement 1 rocket.pde  11:12:08 1/22/24
 +00:00:01| Mesh Generation Complete
 +00:00:01| Step 23 Time= 2.463e-6 Dt= 4.919e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.28e-13 MAX ERR= 2.45e-13 TIME ERR= 5.34e-13 Orthomin/ILU=(16) MEM(KiB)=5584 
 +00:00:01| Step 24 Time= 3.078e-6 Dt= 6.149e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.28e-13 MAX ERR= 2.46e-13 TIME ERR= 1.04e-12 Orthomin/ILU=(16) MEM(KiB)=5584 
 +00:00:01| Step 25 Time= 3.847e-6 Dt= 7.686e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 2.03e-12 Orthomin/ILU=(16) MEM(KiB)=5584 
 +00:00:01| Step 26 Time= 4.808e-6 Dt= 9.608e-7 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 3.97e-12 Orthomin/ILU=(16) MEM(KiB)=5584 
 +00:00:01| Step 27 Time= 6.009e-6 Dt= 1.201e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 7.76e-12 Orthomin/ILU=(17) MEM(KiB)=5584 
 +00:00:01| Step 28 Time= 7.510e-6 Dt= 1.501e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 1.52e-11 Orthomin/ILU=(17) MEM(KiB)=5584 
 +00:00:01| Step 29 Time= 9.386e-6 Dt= 1.877e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 2.96e-11 Orthomin/ILU=(17) MEM(KiB)=5584 
 +00:00:01| Step 30 Time= 1.173e-5 Dt= 2.346e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 5.78e-11 Lanczos/BInv=(14) MEM(KiB)=5584 
 +00:00:01| Step 31 Time= 1.466e-5 Dt= 2.932e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 1.13e-10 Lanczos/BInv=(14) MEM(KiB)=5584 
 +00:00:01| Step 32 Time= 1.833e-5 Dt= 3.665e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 2.21e-10 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 33 Time= 2.291e-5 Dt= 4.581e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 4.31e-10 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 34 Time= 2.864e-5 Dt= 5.727e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 8.41e-10 Lanczos/BInv=(14) MEM(KiB)=5584 
 +00:00:01| Step 35 Time= 3.580e-5 Dt= 7.158e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 1.643e-9 Lanczos/BInv=(14) MEM(KiB)=5584 
 +00:00:01| Step 36 Time= 4.474e-5 Dt= 8.948e-6 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.29e-13 MAX ERR= 2.47e-13 TIME ERR= 3.210e-9 Lanczos/BInv=(14) MEM(KiB)=5584 
 +00:00:01| Step 37 Time= 5.593e-5 Dt= 1.118e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.15e-13 MAX ERR= 2.32e-13 TIME ERR= 6.269e-9 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 38 Time= 6.991e-5 Dt= 1.398e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.70e-13 MAX ERR= 1.83e-13 TIME ERR= 1.224e-8 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 39 Time= 8.739e-5 Dt= 1.748e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.34e-13 MAX ERR= 1.45e-13 TIME ERR= 2.392e-8 Lanczos/BInv=(14) MEM(KiB)=5584 
 +00:00:01| Step 40 Time= 1.092e-4 Dt= 2.185e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.06e-13 MAX ERR= 1.14e-13 TIME ERR= 4.671e-8 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 41 Time= 1.365e-4 Dt= 2.731e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 8.27e-14 MAX ERR= 8.92e-14 TIME ERR= 9.123e-8 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 42 Time= 1.707e-4 Dt= 3.413e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 6.46e-14 MAX ERR= 6.96e-14 TIME ERR= 1.782e-7 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 43 Time= 2.133e-4 Dt= 4.267e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 5.01e-14 MAX ERR= 5.40e-14 TIME ERR= 3.481e-7 Lanczos/BInv=(13) MEM(KiB)=5584 
 +00:00:01| Step 44 Time= 2.667e-4 Dt= 5.333e-5 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.87e-14 MAX ERR= 4.17e-14 TIME ERR= 6.798e-7 Lanczos/BInv=(13) MEM(KiB)=5584 
