FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\Nathan Latka\OneDrive - McMaster University\Documents\GitHub\2CM4_Projects\DA2\DA2 Grady.pde  21:31:50 2/7/24
Using 1 Thread(s)
 +00:00:01| Step 35 Time= 1.168579 Dt= 0.059563 Nodes=808 Cells=373 RMS ERR= 0.003213 MAX ERR= 0.004652 TIME ERR= 0.002624 MEM=3536
 +00:00:01| Step 36 Time= 1.222985 Dt= 0.054406 Nodes=819 Cells=378 RMS ERR= 0.002400 MAX ERR= 0.003476 TIME ERR= 0.002226 MEM=3542
 +00:00:01| Step 37 Time= 1.277391 Dt= 0.054406 Nodes=819 Cells=378 RMS ERR= 0.002039 MAX ERR= 0.002945 TIME ERR= 0.002688 MEM=3542
 +00:00:01| Step 38 Time= 1.326692 Dt= 0.049301 Nodes=819 Cells=378 RMS ERR= 0.001796 MAX ERR= 0.002566 TIME ERR= 4.720e-4 MEM=3542
 +00:00:01| Step 39 Time= 1.382008 Dt= 0.055316 Nodes=819 Cells=378 RMS ERR= 0.001627 MAX ERR= 0.002238 TIME ERR= 3.488e-4 MEM=3542
 +00:00:01| Step 40 Time= 1.444074 Dt= 0.062066 Nodes=819 Cells=378 RMS ERR= 0.001533 MAX ERR= 0.002035 TIME ERR= 3.243e-4 MEM=3542
 +00:00:01| Step 41 Time= 1.513713 Dt= 0.069639 Nodes=819 Cells=378 RMS ERR= 0.001474 MAX ERR= 0.001993 TIME ERR= 3.806e-4 MEM=3542
 +00:00:01| Step 42 Time= 1.591850 Dt= 0.078136 Nodes=815 Cells=376 RMS ERR= 0.001967 MAX ERR= 0.002677 TIME ERR= 3.612e-4 MEM=3544
 +00:00:01| Step 43 Time= 1.679520 Dt= 0.087671 Nodes=815 Cells=376 RMS ERR= 0.001909 MAX ERR= 0.002618 TIME ERR= 3.204e-4 MEM=3544
 +00:00:01| Step 44 Time= 1.777888 Dt= 0.098368 Nodes=815 Cells=376 RMS ERR= 0.001858 MAX ERR= 0.002559 TIME ERR= 2.611e-4 MEM=3544
 +00:00:01| Step 45 Time= 1.888259 Dt= 0.110371 Nodes=815 Cells=376 RMS ERR= 0.001812 MAX ERR= 0.002502 TIME ERR= 2.044e-4 MEM=3544
 +00:00:01| Step 46 Time= 2.012097 Dt= 0.123838 Nodes=799 Cells=368 RMS ERR= 0.002716 MAX ERR= 0.003745 TIME ERR= 1.749e-4 MEM=3545
 +00:00:01| Step 47 Time= 2.151045 Dt= 0.138948 Nodes=807 Cells=372 RMS ERR= 0.002824 MAX ERR= 0.003906 TIME ERR= 0.003976 MEM=3550
 +00:00:01| Step 48 Time= 2.261547 Dt= 0.110502 Nodes=813 Cells=374 RMS ERR= 0.001923 MAX ERR= 0.002564 TIME ERR= 0.003278 MEM=3550
 +00:00:01| Step 49 Time= 2.355265 Dt= 0.093718 Nodes=813 Cells=374 RMS ERR= 0.001901 MAX ERR= 0.002580 TIME ERR= 0.003193 MEM=3550
