FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\Nathan Latka\OneDrive - McMaster University\Documents\GitHub\2CM4_Projects\DA2\DA2_quarter_pizza.pde  10:58:02 2/8/24
Using 1 Thread(s)
 +00:00:00| Step 34 Time= 1.920435 Dt= 0.212888 Nodes=813 Cells=382 RMS ERR= 2.135e-4 MAX ERR= 3.095e-4 TIME ERR= 3.206e-4 MEM=3115
 +00:00:00| Step 35 Time= 2.159299 Dt= 0.238864 Nodes=813 Cells=382 RMS ERR= 1.974e-4 MAX ERR= 2.862e-4 TIME ERR= 3.052e-4 MEM=3115
 +00:00:00| Step 36 Time= 2.427310 Dt= 0.268010 Nodes=813 Cells=382 RMS ERR= 1.836e-4 MAX ERR= 2.662e-4 TIME ERR= 2.885e-4 MEM=3115
 +00:00:00| Step 37 Time= 2.728022 Dt= 0.300712 Nodes=813 Cells=382 RMS ERR= 1.707e-4 MAX ERR= 2.475e-4 TIME ERR= 2.741e-4 MEM=3115
 +00:00:00| Step 38 Time= 3.065427 Dt= 0.337405 Nodes=813 Cells=382 RMS ERR= 1.591e-4 MAX ERR= 2.306e-4 TIME ERR= 2.623e-4 MEM=3115
 +00:00:00| Step 39 Time= 3.444001 Dt= 0.378574 Nodes=813 Cells=382 RMS ERR= 1.480e-4 MAX ERR= 2.147e-4 TIME ERR= 2.538e-4 MEM=3115
 +00:00:01| Step 40 Time= 3.868769 Dt= 0.424767 Nodes=813 Cells=382 RMS ERR= 1.383e-4 MAX ERR= 2.005e-4 TIME ERR= 2.468e-4 MEM=3115
 +00:00:01| Step 41 Time= 4.345366 Dt= 0.476597 Nodes=813 Cells=382 RMS ERR= 1.295e-4 MAX ERR= 1.878e-4 TIME ERR= 2.443e-4 MEM=3115
 +00:00:01| Step 42 Time= 4.880116 Dt= 0.534751 Nodes=813 Cells=382 RMS ERR= 1.218e-4 MAX ERR= 1.766e-4 TIME ERR= 2.490e-4 MEM=3115
 +00:00:01| Step 43 Time= 5.480116 Dt= 0.600000 Nodes=813 Cells=382 RMS ERR= 1.149e-4 MAX ERR= 1.666e-4 TIME ERR= 2.576e-4 MEM=3115
 +00:00:01| Step 44 Time= 6.153327 Dt= 0.673211 Nodes=813 Cells=382 RMS ERR= 1.088e-4 MAX ERR= 1.577e-4 TIME ERR= 2.650e-4 MEM=3115
 +00:00:01| Step 45 Time= 6.908682 Dt= 0.755355 Nodes=813 Cells=382 RMS ERR= 1.034e-4 MAX ERR= 1.499e-4 TIME ERR= 2.692e-4 MEM=3115
 +00:00:01| Step 46 Time= 7.756205 Dt= 0.847523 Nodes=813 Cells=382 RMS ERR= 9.804e-5 MAX ERR= 1.422e-4 TIME ERR= 2.701e-4 MEM=3115
 +00:00:01| Step 47 Time= 8.707141 Dt= 0.950936 Nodes=813 Cells=382 RMS ERR= 9.328e-5 MAX ERR= 1.353e-4 TIME ERR= 2.663e-4 MEM=3115
 +00:00:01| Step 48 Time= 9.774108 Dt= 1.066968 Nodes=813 Cells=382 RMS ERR= 8.909e-5 MAX ERR= 1.292e-4 TIME ERR= 2.599e-4 MEM=3115
 +00:00:01| Step 49 Time= 10.97127 Dt= 1.197157 Nodes=813 Cells=382 RMS ERR= 8.541e-5 MAX ERR= 1.238e-4 TIME ERR= 2.522e-4 MEM=3115
 +00:00:01| Step 50 Time= 12.00000 Dt= 1.028734 Nodes=813 Cells=382 RMS ERR= 8.269e-5 MAX ERR= 1.199e-4 TIME ERR= 1.252e-4 MEM=3115
 +00:00:01| Step 51 Time= 13.34323 Dt= 1.343233 Nodes=813 Cells=382 RMS ERR= 7.980e-5 MAX ERR= 1.157e-4 TIME ERR= 1.954e-4 MEM=3115
 +00:00:01| Step 52 Time= 14.85036 Dt= 1.507132 Nodes=813 Cells=382 RMS ERR= 7.720e-5 MAX ERR= 1.119e-4 TIME ERR= 1.796e-4 MEM=3115
 +00:00:01| Step 53 Time= 16.54139 Dt= 1.691030 Nodes=813 Cells=382 RMS ERR= 7.479e-5 MAX ERR= 1.084e-4 TIME ERR= 1.924e-4 MEM=3115
 +00:00:01| Step 54 Time= 18.43876 Dt= 1.897367 Nodes=813 Cells=382 RMS ERR= 7.222e-5 MAX ERR= 1.047e-4 TIME ERR= 2.073e-4 MEM=3115
 +00:00:01| Step 55 Time= 20.56764 Dt= 2.128880 Nodes=813 Cells=382 RMS ERR= 6.969e-5 MAX ERR= 1.011e-4 TIME ERR= 2.240e-4 MEM=3115
 +00:00:01| Step 56 Time= 22.95628 Dt= 2.388643 Nodes=813 Cells=382 RMS ERR= 6.729e-5 MAX ERR= 9.757e-5 TIME ERR= 2.426e-4 MEM=3115
 +00:00:01| Step 57 Time= 24.00000 Dt= 1.043716 Nodes=813 Cells=382 RMS ERR= 6.636e-5 MAX ERR= 9.622e-5 TIME ERR= 2.288e-5 MEM=3115
 +00:00:01| Step 58 Time= 26.68010 Dt= 2.680102 Nodes=813 Cells=382 RMS ERR= 6.421e-5 MAX ERR= 9.311e-5 TIME ERR= 2.692e-4 MEM=3115
 +00:00:01| Step 59 Time= 29.68722 Dt= 3.007123 Nodes=813 Cells=382 RMS ERR= 6.210e-5 MAX ERR= 9.005e-5 TIME ERR= 2.090e-4 MEM=3115
 +00:00:01| Step 60 Time= 33.06127 Dt= 3.374048 Nodes=813 Cells=382 RMS ERR= 6.000e-5 MAX ERR= 8.701e-5 TIME ERR= 2.687e-4 MEM=3115
 +00:00:01| Step 61 Time= 36.00000 Dt= 2.938727 Nodes=813 Cells=382 RMS ERR= 5.835e-5 MAX ERR= 8.461e-5 TIME ERR= 1.662e-4 MEM=3115
 +00:00:01| Step 62 Time= 39.78574 Dt= 3.785744 Nodes=813 Cells=382 RMS ERR= 5.636e-5 MAX ERR= 8.173e-5 TIME ERR= 2.890e-4 MEM=3115
 +00:00:01| Step 63 Time= 44.03342 Dt= 4.247675 Nodes=813 Cells=382 RMS ERR= 5.424e-5 MAX ERR= 7.865e-5 TIME ERR= 3.061e-4 MEM=3115
 +00:00:01| Step 64 Time= 48.00000 Dt= 3.966581 Nodes=813 Cells=382 RMS ERR= 5.214e-5 MAX ERR= 7.561e-5 TIME ERR= 2.265e-4 MEM=3115
 +00:00:01| Step 65 Time= 52.76597 Dt= 4.765969 Nodes=813 Cells=382 RMS ERR= 4.922e-5 MAX ERR= 7.136e-5 TIME ERR= 3.273e-4 MEM=3115
 +00:00:01| Step 66 Time= 58.11348 Dt= 5.347506 Nodes=813 Cells=382 RMS ERR= 4.566e-5 MAX ERR= 6.620e-5 TIME ERR= 3.602e-4 MEM=3115
 +00:00:01| Step 67 Time= 60.00000 Dt= 1.886525 Nodes=813 Cells=382 RMS ERR= 4.430e-5 MAX ERR= 6.423e-5 TIME ERR= 2.110e-5 MEM=3115
 +00:00:01| --DONE-- 10:58:03 2/8/24
